Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
GMA1311;311;Economie du sport professionnel : régulation et financiarisation;4;15;1;12;1;0;0
GMA1312;312;Analyse financière des organisations du sport et des loisirs;2;16;1;0;1;0;0
GMA1321;321;Régulations et dynamiques dans le sport associatif et fédéral;3;10;1;10;1;0;0
GMA1322;322;Stratégie et management de l'innovation dans le sport;3;10;1;10;1;0;0
GMA1331;331;Economie de la pratique sportive : externalités et (dés)utilité sociale;4;15;1;12;1;0;0
GMA1332;332;Techniques d'enquêtes qualitatives;2;8;0,5;8;1;0;0
GMA1341;341;Economie des inégalités dans le sport : revenus, discipline, genre;6;24;1;12;1;0;0
GMA1351;351;Lecture series in English 3;3;0;1;20;1;0;0
GMA1361;361;Conférences en économie du sport / Investissement associatif / Préparation au stage ou au mémoire;3;21;1;8;1;0;0
GMA1411;411;Sport et territoires;3;10;1;10;1;0;0
GMA1412;412;Sport et transition écologique;3;10;1;10;1;0;0
GMA1421;421;Les modèles d'organisation du sport : impact économique et utilité sociale;4;15;1;12;1;0;0
GMA1422;422;Actualités juridiques du sport;2;16;1;0;1;0;0
GMA1431;431;Stage (4 à 6 mois) / Accompagnement au stage ou au mémoire / Technique de recherche d'emploi;18;20;1;0;1;0;0
